tweet,label
Nobody wants you here.,1
Sunsets are my favorite kind of therapy.,0
You liked Alex’s photo twice today.,-1
You were offline for 2 hours today. Where were you?,-1
Why were you at that restaurant on 5th Street?,-1
You changed your profile picture at 10:34 PM yesterday.,-1
Go kill yourself already.,1
You're a waste of space.,1
"Get a life, loser.",1
"You're such a loser, nobody likes you!",1
You liked Alex’s photo twice today.,-1
You're the dumbest person ever.,1
You posted this at 2 AM. Who were you with?,-1
This person is a fat pig. #truth,1
"I know where you live, and I saw your car last night.",-1
"I know where you live, and I saw your car last night.",-1
You didn’t answer my DM but I saw you read it at 9:02 PM.,-1
You changed your profile picture at 10:34 PM yesterday.,-1
Loving this new song on repeat.,0
Loving this new song on repeat.,0
Loving this new song on repeat.,0
"I know where you live, and I saw your car last night.",-1
Just finished watching a great movie.,0
Loving this new song on repeat.,0
"Get a life, loser.",1
Had a great day at the park with friends!,0
You didn’t answer my DM but I saw you read it at 9:02 PM.,-1
Sunsets are my favorite kind of therapy.,0
"I know where you live, and I saw your car last night.",-1
You posted this at 2 AM. Who were you with?,-1
You changed your profile picture at 10:34 PM yesterday.,-1
Sunsets are my favorite kind of therapy.,0
You're a waste of space.,1
Sunsets are my favorite kind of therapy.,0
I saw you at the coffee shop at 3 PM. Cute jacket.,-1
Why don't you disappear?,1
Your lights were on until midnight. Interesting.,-1
You were offline for 2 hours today. Where were you?,-1
Nobody wants you here.,1
You posted this at 2 AM. Who were you with?,-1
Why don't you disappear?,1
Feeling grateful for everything I have.,0
Just finished watching a great movie.,0
Why don't you disappear?,1
I saw you at the coffee shop at 3 PM. Cute jacket.,-1
You posted this at 2 AM. Who were you with?,-1
Can't wait for summer vacations!,0
I saw you at the coffee shop at 3 PM. Cute jacket.,-1
Anyone got book recommendations?,0
"I know where you live, and I saw your car last night.",-1
You're the dumbest person ever.,1
You changed your profile picture at 10:34 PM yesterday.,-1
You were offline for 2 hours today. Where were you?,-1
Can't wait for summer vacations!,0
You're so ugly it's painful.,1
Feeling grateful for everything I have.,0
Sunsets are my favorite kind of therapy.,0
You posted this at 2 AM. Who were you with?,-1
I saw you walking your dog yesterday. Nice route.,-1
Looking forward to the weekend.,0
You're a waste of space.,1
Anyone got book recommendations?,0
Trying out a new recipe tonight.,0
Sunsets are my favorite kind of therapy.,0
"You're such a loser, nobody likes you!",1
You posted this at 2 AM. Who were you with?,-1
Anyone got book recommendations?,0
Why were you at that restaurant on 5th Street?,-1
This person is a fat pig. #truth,1
Feeling grateful for everything I have.,0
Why were you at that restaurant on 5th Street?,-1
Why were you at that restaurant on 5th Street?,-1
Why don't you disappear?,1
You posted this at 2 AM. Who were you with?,-1
I saw you walking your dog yesterday. Nice route.,-1
You're so ugly it's painful.,1
This person is a fat pig. #truth,1
Can't wait for summer vacations!,0
You're so ugly it's painful.,1
Why were you at that restaurant on 5th Street?,-1
Looking forward to the weekend.,0
You're the dumbest person ever.,1
I saw you at the coffee shop at 3 PM. Cute jacket.,-1
"I know where you live, and I saw your car last night.",-1
I saw you at the coffee shop at 3 PM. Cute jacket.,-1
"I know where you live, and I saw your car last night.",-1
Sunsets are my favorite kind of therapy.,0
Loving this new song on repeat.,0
I hope you get hit by a bus.,1
I saw you at the coffee shop at 3 PM. Cute jacket.,-1
I saw you walking your dog yesterday. Nice route.,-1
This person is a fat pig. #truth,1
Had a great day at the park with friends!,0
Why were you at that restaurant on 5th Street?,-1
This person is a fat pig. #truth,1
"Get a life, loser.",1
Nobody wants you here.,1
You're a waste of space.,1
This person is a fat pig. #truth,1
Anyone got book recommendations?,0
Sunsets are my favorite kind of therapy.,0
You were offline for 2 hours today. Where were you?,-1
Looking forward to the weekend.,0
Nobody wants you here.,1
You were offline for 2 hours today. Where were you?,-1
Anyone got book recommendations?,0
Had a great day at the park with friends!,0
Trying out a new recipe tonight.,0
Go kill yourself already.,1
Trying out a new recipe tonight.,0
You're the dumbest person ever.,1
"You're such a loser, nobody likes you!",1
Your lights were on until midnight. Interesting.,-1
Trying out a new recipe tonight.,0
Feeling grateful for everything I have.,0
Why were you at that restaurant on 5th Street?,-1
Anyone got book recommendations?,0
Go kill yourself already.,1
Trying out a new recipe tonight.,0
Looking forward to the weekend.,0
You posted this at 2 AM. Who were you with?,-1
Trying out a new recipe tonight.,0
Nobody wants you here.,1
Anyone got book recommendations?,0
You liked Alex’s photo twice today.,-1
You changed your profile picture at 10:34 PM yesterday.,-1
Nobody wants you here.,1
Nobody wants you here.,1
Trying out a new recipe tonight.,0
Go kill yourself already.,1
You're a waste of space.,1
"Get a life, loser.",1
This person is a fat pig. #truth,1
Just finished watching a great movie.,0
Feeling grateful for everything I have.,0
You liked Alex’s photo twice today.,-1
Had a great day at the park with friends!,0
I saw you walking your dog yesterday. Nice route.,-1
You were offline for 2 hours today. Where were you?,-1
Sunsets are my favorite kind of therapy.,0
Can't wait for summer vacations!,0
Looking forward to the weekend.,0
Loving this new song on repeat.,0
You're so ugly it's painful.,1
I saw you walking your dog yesterday. Nice route.,-1
"I know where you live, and I saw your car last night.",-1
Nobody wants you here.,1
Loving this new song on repeat.,0
Go kill yourself already.,1
You liked Alex’s photo twice today.,-1
You didn’t answer my DM but I saw you read it at 9:02 PM.,-1
I saw you at the coffee shop at 3 PM. Cute jacket.,-1
Nobody wants you here.,1
Just finished watching a great movie.,0
Looking forward to the weekend.,0
